handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_f24cdde1-8935-6f6f-dad7-fae92e0b86bf,Product,Patriarchy Print,"<p>To celebrate my fellow feminists who also sound like sneezy, congested messes most of the time, I created this print. I love it so much and I hope you will too!</p><p>&nbsp;</p><p>These are full color giclee prints, printed on fine art paper with a matte finish. They’re nice and thick with a hint texture to them.</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_05eb49453d9142e389b7be200c7461ee~mv2.jpg;2077e7_8355fc8088674c1b85c2cf04645c3baa~mv2.jpg;2077e7_97b86a0a4f614d19adfbed6341e8765c~mv2.jpg;2077e7_f56c0bbe2abf4a9b8814d6624abca5c7~mv2.jpg;2077e7_aafbadb4e8874634b42191b39e2f3879~mv2.jpg;2077e7_d83e5a45352748048a6b29e7c86ba291~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f24cdde1-8935-6f6f-dad7-fae92e0b86bf,Variant,,,,,79,,,0,TRUE,,,1,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f24cdde1-8935-6f6f-dad7-fae92e0b86bf,Variant,,,,,80,,,5,TRUE,,,2,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f24cdde1-8935-6f6f-dad7-fae92e0b86bf,Variant,,,,,81,,,10,TRUE,,,2,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_748df075-b678-15f0-9b8c-e512b5dc3bd8,Product,The Sun Print,"<p>I was inspired to make three tarot card prints, none of which turned out to be tarot cards themselves. Still, I ended up with The Moon, The Sun, and The Star.</p><p>&nbsp;</p><p>In tarot, The Sun is part of the Major Arcana and when drawn upright, it signifies good fortune, happiness, joy, and harmony. It represents the universe coming together and agreeing with your path and aiding forward movement into something greater.</p><p>&nbsp;</p><p>These are full color giclee prints, printed on fine art paper with a matte finish. They’re nice and thick with a hint texture to them.</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_6ebc5df389584434ada5c7f8372fa75b~mv2.jpg;2077e7_d3421e05cff14c70a974b3df6d736bf7~mv2.jpg;2077e7_f9c4a0a15cf44cd098f8dbbea67e3b4d~mv2.jpg;2077e7_5532b47dbb1f48b2b8d2f0794efac231~mv2.jpg;2077e7_3441c0c1661e4ff6922802b9912e5640~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_748df075-b678-15f0-9b8c-e512b5dc3bd8,Variant,,,,,76,,,0,TRUE,,,2,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_748df075-b678-15f0-9b8c-e512b5dc3bd8,Variant,,,,,77,,,5,TRUE,,,2,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_748df075-b678-15f0-9b8c-e512b5dc3bd8,Variant,,,,,78,,,10,TRUE,,,2,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27d21a83-73d5-1872-5dc6-dbaf7da72ee7,Product,The Moon Print,"<p>I was inspired to make three tarot card prints, none of which turned out to be tarot cards themselves. Still, I ended up with The Moon, The Sun, and The Star.</p><p>&nbsp;</p><p>These are full color giclee prints, printed on fine art paper with a matte finish. They’re nice and thick with a hint texture to them.</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_5485c90dd6214df49e3ef49b5d822dd1~mv2.jpg;2077e7_5a2934dabe114ae2b0f0e1f48cbaae81~mv2.jpg;2077e7_5615c808d58e41919df758b445b981df~mv2.jpg;2077e7_9b8603f72b1646b482e6be0da18d2b74~mv2.jpg;2077e7_b81e884fb84d494c9e6147d97d1abcdc~mv2.jpg;2077e7_d4fd9cf436c84e10b29d54a17385d370~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27d21a83-73d5-1872-5dc6-dbaf7da72ee7,Variant,,,,,73,,,0,TRUE,,,2,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27d21a83-73d5-1872-5dc6-dbaf7da72ee7,Variant,,,,,74,,,5,TRUE,,,1,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27d21a83-73d5-1872-5dc6-dbaf7da72ee7,Variant,,,,,75,,,10,TRUE,,,2,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_07e0c737-5d6a-97a5-eb92-51e753e914a3,Product,The Star Print,"<p>I was inspired to make three tarot card prints, none of which turned out to be tarot cards themselves. Still, I ended up with The Moon, The Sun, and The Star.</p><p>&nbsp;</p><p>When The Star card appears in tarot, you are likely to find yourself feeling inspired. It brings renewed hope and faith and a sense that you are truly blessed by the universe at this time.</p><p>&nbsp;</p><p>These are full color giclee prints, printed on fine art paper with a matte finish. They’re nice and thick with a hint texture to them.</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_4ed707a004de4c958c4493bfe8ee1a9c~mv2.jpg;2077e7_a6aebda3d079401baf10a00ecf221e81~mv2.jpg;2077e7_6e7f0c8e103e47b6974971f56ae8ff7d~mv2.jpg;2077e7_22de32c3cd7b4bb0a182371f250b55f0~mv2.jpg;2077e7_f4776ff9024d4c2399a4131a08f68e17~mv2.jpg;2077e7_5ab67833bef54de9963a58cb5d45ef0c~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_07e0c737-5d6a-97a5-eb92-51e753e914a3,Variant,,,,,70,,,0,TRUE,,,2,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_07e0c737-5d6a-97a5-eb92-51e753e914a3,Variant,,,,,71,,,5,TRUE,,,2,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_07e0c737-5d6a-97a5-eb92-51e753e914a3,Variant,,,,,72,,,10,TRUE,,,2,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_370c6ca5-f59b-b399-9613-68281e00e560,Product,Green Flowers and Combat Boots Print,"<p>I love combat boots. And also the idea of a style symbol that looks so edgy and cool being paired with something as pretty and feminine as flowers makes me feel more powerful somehow. So I made this print. It is available with two different backgrounds. This listing is for the green&nbsp;background.&nbsp;</p><p>&nbsp;</p><p>This is a full color print, printed on 100# cardstock paper with a matte finish. It is nice and thick with a smooth&nbsp;texture. &nbsp;</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_0a850834eb4349a8925403fc164effca~mv2.jpg;2077e7_f8be31b7952241eda2b2efeea1ffdac8~mv2.jpg;2077e7_a9e6f46650604762b3cb434716e8ec4e~mv2.jpg;2077e7_b51d6fcd37494777b37ee8791b3654db~mv2.jpg;2077e7_a70396ede5d34eba9ea0f6744ebb8260~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_370c6ca5-f59b-b399-9613-68281e00e560,Variant,,,,,67,,,0,TRUE,,,10,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_370c6ca5-f59b-b399-9613-68281e00e560,Variant,,,,,68,,,5,TRUE,,,10,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_370c6ca5-f59b-b399-9613-68281e00e560,Variant,,,,,69,,,10,TRUE,,,10,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_16fab67a-2bea-f5d9-6edb-f699fe25fa07,Product,Pink Flowers and Combat Boots Print,"<p>I love combat boots. And also the idea of a style symbol that looks so edgy and cool being paired with something as pretty and feminine as flowers makes me feel more powerful somehow. So I made this print. It is available with two different backgrounds. This listing is for the pink background.&nbsp;</p><p>&nbsp;</p><p>This is a full color print, printed on 100# cardstock paper with a matte finish. It is nice and thick with a smooth&nbsp;texture. &nbsp;</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_71b37d7d2c8e46699d38af214e6dcd22~mv2.jpg;2077e7_f86281c64f61410480a442c7c2c8e156~mv2.jpg;2077e7_23507df2a9f8401da3aaad2c043b2307~mv2.jpg;2077e7_b29176bb24894d578cebc9c04834514d~mv2.jpg;2077e7_cab553112cbc4ed591a59714b76eff1a~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_16fab67a-2bea-f5d9-6edb-f699fe25fa07,Variant,,,,,64,,,0,TRUE,,,10,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_16fab67a-2bea-f5d9-6edb-f699fe25fa07,Variant,,,,,65,,,5,TRUE,,,10,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_16fab67a-2bea-f5d9-6edb-f699fe25fa07,Variant,,,,,66,,,10,TRUE,,,10,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Product,Sign Language 'I Love You' Print,"<p>Sign language, specifically ASL, has always held a special place in my heart and I don’t know why. Im not fluent by any means, but the first sign that I learned as a child was “I Love You,” so it seems fitting that this is one of the first prints that I am releasing.&nbsp;</p><p>&nbsp;</p><p>This is a full color print, printed on 100# cardstock paper with a matte finish. It is nice and thick with a smooth&nbsp;texture. &nbsp;</p><p>&nbsp;</p><p>Available in three sizes:<br>5x7<br>8x10<br>11x14</p>",2077e7_1963ec074d6543879ff4ef68fd96f265~mv2.jpg;2077e7_b4f3f60f0dfa4b999ae658008fc8079f~mv2.jpg;2077e7_b8c686c0265d4492b808aff4d0a779b2~mv2.jpg;2077e7_add7f7f0426d4fedbbfd706cf0bd45fe~mv2.jpg;2077e7_cf2cca264f504174bcaa7e0bccdee8db~mv2.jpg;2077e7_16657103fc00415e89affc4cc416e95a~mv2.jpg,Prints,,,10,,TRUE,PERCENT,0,0,0,Size,DROP_DOWN,5x7;8x10;11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Variant,,,,,61,,,0,TRUE,,,10,0.18,,,5x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Variant,,,,,62,,,5,TRUE,,,10,0.25,,,8x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b305014-ab09-80f6-f012-110fd9279a02,Variant,,,,,63,,,10,TRUE,,,10,0.56,,,11x14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
